Age (MAL1B/1C from Ivory et al 2016)age (kyr),Charcoal (abundance normalized by sedimentation rate),Lake Level (PC1 5pt Smooth)
259.801,2.112221547,0.2524
260.783,3.732984403,0.2497
261.715,4.864772256,0.23314
262.297,4.460245565,0.26398
263.178,5.10014925,0.18664
263.98,3.116568954,0.18048
264.809,1.434848029,0.10854
265.619,1.409770665,0.12576
266.416,2.335821305,0.09544
267.336,1.339028781,0.14802
268.103,5.61801471,0.14788
268.919,1.545090341,0.17342
269.145,2.81071489,0.17304
269.921,3.368679197,0.18332
270.767,1.15404972,0.19352
271.636,1.918449824,0.2166
272.534,2.210476649,0.1832
273.459,2.784176199,0.17204
274.432,3.385926882,0.18524
275.002,1.842551272,0.18198
276.033,3.229876244,0.1006
277.146,1.680385731,0.10652
278.312,0.686040064,0.08606
278.811,0.375516315,0.0391
291.238,7.917323074,0.01602
292.517,12.69201312,0.00052
293.777,8.231304283,0.02808
295.87,4.745946759,-0.00864
298.007,6.149723004,-0.05282
302.214,13.77321464,-0.10778
305.56,7.633961573,-0.10492
309.327,4.009317331,-0.08534
310.848,5.335863649,-0.0521
314.881,8.947628762,0.01936
319.098,10.19200275,0.06686
322.894,6.427526166,0.11794
327.246,8.716103337,0.11286
330.815,7.748106859,0.12098
334.166,7.201524797,0.1198
335.289,10.18533393,0.07612
338.403,10.46168319,0.028
341.299,24.98900404,-0.02812
344.234,15.10511614,-0.09738
346.917,28.24426171,-0.17372
349.173,29.85700748,-0.15592
351.711,27.81051362,-0.17152
352.849,9.501435018,-0.17554
355.183,53.84219703,-0.18314
357.88,27.78622133,-0.18448
360.583,108.4518745,-0.21496
362.957,46.58669673,-0.21794
365.206,87.02930623,-0.22652
367.186,76.88375424,-0.23182
368.081,38.37426636,-0.23666
369.917,32.16218229,-0.241
371.793,89.70433487,-0.24494
